,location,carpet_area,status,transaction,urnishing,society,bathroom,amount
310,"3 BHK Penthouse for Sale in Marvel Zephyr, Kharadi Pune",2500 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyMarvel Zephyr,Bathroom4,₹2.93 Cr 
311,"2 BHK Apartment for Sale in Kolte Patil Langston Tuscan, Kharadi Pune",850 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyKolte Patil Langston Tuscan,Bathroom2,₹1.03 Cr 
312,"3 BHK Apartment for Sale in Nyati Elysia, Kharadi Pune",1180 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyNyati Elysia,Bathroom3,₹1.65 Cr 
313,"2 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",780 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom2,₹1 Cr 
314,"3 BHK Apartment for Sale in Vertillas, Kharadi Pune",1368 sqft,Under ConstructionPoss. by Jun '24,TransactionNew Property,FurnishingUnfurnished,SocietyVertillas,Bathroom3,₹2 Cr 
315,"2 BHK Apartment for Sale in Zen Elite, EON Free Zone, Kharadi Pune",855 sqft,Under ConstructionPoss. by Mar '25,TransactionNew Property,FurnishingUnfurnished,SocietyZen Elite,Bathroom2,₹97 Lac 
316,"2 BHK Apartment for Sale in Urban Soul, Kharadi Pune",820 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyUrban Soul,Bathroom2,₹88 Lac 
317,"1 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",450 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGera World of Joy,Bathroom1,₹40 Lac 
318,"4 BHK Apartment for Sale in Forest County, EON Free Zone, Kharadi Pune",1750 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyForest County,Bathroom4,₹3.65 Cr 
319,"3 BHK Apartment for Sale in Zen Elite, Kharadi Pune",1100 sqft,Under ConstructionPoss. by Mar '25,TransactionNew Property,FurnishingSemi-Furnished,SocietyZen Elite,Bathroom3,₹1.40 Cr 
320,"4 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1650 sqft,Under ConstructionPoss. by Dec '26,TransactionResale,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom4,₹2 Cr 
321,"2 BHK Apartment for Sale in Kolte Patil Langston Tuscan, EON Free Zone, Kharadi Pune",924 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyKolte Patil Langston Tuscan,Bathroom2,₹1.05 Cr 
322,"3 BHK Apartment for Sale in Nyati Elysia, Kharadi Pune",1505 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyNyati Elysia,Bathroom3,₹1.65 Cr 
323,"3 BHK Apartment for Sale in Marvel Citrine, Kharadi Gaon, Kharadi Pune",1200 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyMarvel Citrine,Bathroom3,₹1.50 Cr 
324,"3 BHK Apartment for Sale in Vertillas, Kharadi Pune",1560 sqft,Under ConstructionPoss. by Jun '24,TransactionNew Property,FurnishingUnfurnished,SocietyVertillas,Bathroom3,₹1.75 Cr 
325,"4 BHK Apartment for Sale in Panchshil Towers, Kharadi Gaon, Kharadi Pune",2650 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyPanchshil Towers,Bathroom6,₹4.50 Cr 
326,"3 BHK Apartment for Sale in Forest County, Kharadi Pune",1255 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyForest County,Bathroom3,₹2 Cr 
327,"2 BHK Apartment for Sale in Zen Estate, Kharadi Pune",747 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyZen Estate,Bathroom2,₹97 Lac 
328,"3 BHK Apartment for Sale in Nyati Elysia, Tukaram Nagar Kharadi Pune",1200 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyNyati Elysia,Bathroom3,₹1.65 Cr 
329,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1079 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGera World of Joy,Bathroom3,₹1.75 Cr 
330,"3 BHK Apartment for Sale in Nyati Elysia, Kharadi Pune",1100 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyNyati Elysia,Bathroom3,₹1.70 Cr 
331,"3 BHK Apartment for Sale in Ganga Constella, EON Free Zone, Kharadi Pune",1300 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGanga Constella,Bathroom3,₹1.45 Cr 
332,"2 BHK Apartment for Sale in Kolte Patil Downtown Xenia, Kharadi Pune",985 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyKolte Patil Downtown Xenia,Bathroom2,₹78 Lac 
333,"2 BHK Apartment for Sale in Kolte-Patil Cheryl, Kharadi Pune",900 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyKolte-Patil Cheryl,Bathroom2,₹95 Lac 
334,"2 BHK Apartment for Sale in Nyati Elysia, Kharadi Pune",709 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyNyati Elysia,Bathroom2,₹90 Lac 
335,"3 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune",1661 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyPanchshil Towers,Bathroom5,₹3.30 Cr 
336,"1 BHK Apartment for Sale in Vishal Srushti, Kharadi Pune",600 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyVishal Srushti,Bathroom1,₹40 Lac 
337,"4 BHK Apartment for Sale in Panchshil T Villa, Kharadi Pune",2522 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyPanchshil T Villa,Bathroom4,₹4.10 Cr 
338,"2 BHK Apartment for Sale in Zen Elite, Kharadi Pune",New Property,,TransactionNew Property,FurnishingUnfurnished,SocietyZen Elite,Bathroom2,₹90.4 Lac 
339,"3 BHK Apartment for Sale in Ganga Constella, Kharadi Pune",1254 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGanga Constella,Bathroom3,₹1.37 Cr 
340,"3 BHK Apartment for Sale in Ganga Platino, Kharadi Pune",1400 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGanga Platino,Bathroom3,₹2.15 Cr 
341,"2 BHK Apartment for Sale in Kolte Downtown Beryl, Kharadi Pune",830 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyKolte Downtown Beryl,Bathroom2,₹95 Lac 
342,"2 BHK Apartment for Sale in Acolade, Kharadi Pune",1250 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyAcolade,Bathroom2,₹97 Lac 
343,"5 BHK Penthouse for Sale in Panchshil Towers, Kharadi Pune",6000 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyPanchshil Towers,Bathroom5,₹11.51 Cr 
344,"3 BHK Apartment for Sale in EON Free Zone, Kharadi Pune",890 sqft,Under ConstructionPoss. by Mar '26,TransactionNew Property,FurnishingUnfurnished,,Bathroom3,₹86.3 Lac 
345,"2 BHK Apartment for Sale in Kolte Downtown Cheryl, EON Free Zone, Kharadi Pune",930 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyKolte Downtown Cheryl,Bathroom2,₹1 Cr 
346,"4 BHK Apartment for Sale in Eon Waterfront, Kharadi Pune",3050 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyEon Waterfront,Bathroom6,₹4.25 Cr 
347,"3 BHK Apartment for Sale in Gera GreensVille SkyVillas, EON Free Zone, Kharadi Pune",2100 sqft,StatusReady to Move,TransactionResale,FurnishingFurnished,SocietyGera GreensVille SkyVillas,Bathroom3,₹2.50 Cr 
348,"3 BHK Apartment for Sale in Gera Emerald City North, Kharadi Pune",1300 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera Emerald City North,Bathroom3,₹1.40 Cr 
349,"3 BHK Apartment for Sale in Gera Emerald City North, Kharadi Pune",1428 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGera Emerald City North,Bathroom3,₹1.41 Cr 
350,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",950 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom3,₹1.40 Cr 
351,"3 BHK Apartment for Sale in Ganga Constella, Kharadi Pune",1200 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGanga Constella,Bathroom3,₹1.60 Cr 
352,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1197 sqft,StatusReady to Move,TransactionNew Property,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom3,₹1.60 Cr 
353,"3 BHK Apartment for Sale in Gera GreensVille SkyVillas, Kharadi Pune",2310 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGera GreensVille SkyVillas,Bathroom3,₹2.50 Cr 
354,"2 BHK Apartment for Sale in Gera Song of Joy, Kharadi Gaon, Kharadi Pune",766 sqft,Under ConstructionPoss. by Aug '26,TransactionNew Property,FurnishingSemi-Furnished,SocietyGera Song of Joy,Bathroom2,₹98 Lac 
355,3 BHK Apartment for Sale in Vitthal Nagar Kharadi Pune,2100 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,,Bathroom4,₹3.40 Cr 
356,"4 BHK Apartment for Sale in Eon Waterfront, Kharadi Pune",3000 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyEon Waterfront,Bathroom4,₹4.75 Cr 
357,"2 BHK Apartment for Sale in Forest County, Kharadi Pune",1155 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyForest County,Bathroom2,₹1.20 Cr 
358,"1 BHK Apartment for Sale in Omkar Blossom, Kharadi Pune",524 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyOmkar Blossom,Bathroom1,₹28.8 Lac 
359,"2 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Gaon, Kharadi Pune",700 sqft,Under ConstructionPoss. by Dec '27,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom2,₹80 Lac 
360,"2 BHK Apartment for Sale in Forest County, EON Free Zone, Kharadi Pune",900 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyForest County,Bathroom2,₹1 Cr 
361,"3 BHK Apartment for Sale in ARV Uthville, Kharadi Pune",932 sqft,Under ConstructionPoss. by Aug '24,TransactionNew Property,FurnishingUnfurnished,SocietyARV Uthville,Bathroom3,₹93 Lac 
362,"5 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune",2100 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyPanchshil Towers,Bathroom3,₹3.60 Cr 
363,"2 BHK Apartment for Sale in Kohinoor Kaleido, Kharadi Pune",730 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyKohinoor Kaleido,Bathroom2,₹61.5 Lac 
364,"2 BHK Apartment for Sale in Zen Elite, Kharadi Gaon, Kharadi Pune",893 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyZen Elite,Bathroom2,₹75 Lac 
365,"4 BHK Apartment for Sale in Marvel Zephyr, Kharadi Pune",4355 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyMarvel Zephyr,Bathroom4,₹3.75 Cr 
366,"4 BHK Apartment for Sale in Eon Waterfront, EON Free Zone, Kharadi Pune",4096 sqft,StatusReady to Move,TransactionNew Property,FurnishingSemi-Furnished,SocietyEon Waterfront,Bathroom4,₹4.99 Cr 
367,"1 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",242 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyGera World of Joy,Bathroom1,₹40 Lac 
368,3 BHK Apartment for Sale in Kharadi Pune,1850 sqft,StatusReady to Move,TransactionResale,FurnishingFurnished,,Bathroom3,₹2.80 Cr 
369,"1 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",370 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom1,₹45 Lac 
370,"3 BHK Apartment for Sale in Kolte Patil Tuscan Estate Signature Meadows, Kharadi Pune",3400 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyKolte Patil Tuscan Estate Signature Meadows,Bathroom4,₹1.74 Cr 
371,"2 BHK Apartment for Sale in Pegasus, Kharadi Pune",852 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyPegasus,Bathroom2,₹76 Lac 
372,"1 BHK Apartment for Sale in VTP Township Codename Pegasus, Tukaram Nagar Kharadi Pune",448 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyVTP Township Codename Pegasus,Bathroom1,₹47.9 Lac 
373,"2 BHK Apartment for Sale in Riverdale Heights, Kharadi Pune",988 sqft,StatusReady to Move,TransactionResale,FurnishingFurnished,SocietyRiverdale Heights,Bathroom2,₹99 Lac 
374,"2 BHK Apartment for Sale in Kolte-Patil Kolte Aleria, Kharadi Pune",1270 sqft,StatusReady to Move,TransactionResale,FurnishingFurnished,SocietyKolte-Patil Kolte Aleria,Bathroom2,₹1.16 Cr 
375,"2 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",650 sqft,Under ConstructionPoss. by Jul '28,TransactionResale,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom2,₹70.7 Lac 
376,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1187 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGera World of Joy,Bathroom3,₹1.75 Cr 
377,"1 BHK Apartment for Sale in Laxmi Heritage , Kharadi Pune",682 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyLaxmi Heritage,Bathroom1,₹30.4 Lac 
378,"1 BHK Apartment for Sale in Spring Glory Co Operative Society, Kharadi Pune",550 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietySpring Glory Co Operative Society,Bathroom1,₹45 Lac 
379,3 BHK Apartment for Sale in Kharadi Pune,1130 sqft,Under ConstructionPoss. by Dec '25,TransactionResale,FurnishingSemi-Furnished,,Bathroom3,₹1.25 Cr 
380,"3 BHK Apartment for Sale in Majestique Marbella, Kharadi Pune",1064 sqft,Under ConstructionPoss. by Apr '24,TransactionResale,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom3,₹1.31 Cr 
381,"1 BHK Builder Floor for Sale in Thite Nagar, Kharadi Pune",520 sqft,StatusReady to Move,TransactionResale,FurnishingFurnished,,Bathroom1,₹29.7 Lac 
382,"2 BHK Apartment for Sale in Gera Song of Joy, Kharadi Pune",958 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGera Song of Joy,Bathroom2,₹1.32 Cr 
383,"2 BHK Apartment for Sale in Vishwajeet Residency, Tulaja Bhawani Nagar, Kharadi Pune",750 sqft,StatusReady to Move,TransactionResale,FurnishingFurnished,SocietyVishwajeet Residency,Bathroom2,₹90 Lac 
384,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1197 sqft,StatusReady to Move,TransactionNew Property,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom3,₹1.75 Cr 
385,"3 BHK Apartment for Sale in Nyati Elysia, Kharadi Pune",1250 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyNyati Elysia,Bathroom3,₹1.75 Cr 
386,"3 BHK Apartment for Sale in Kolte-Patil Tuscan Estate, Kharadi Pune",2600 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyKolte-Patil Tuscan Estate,Bathroom4,₹2.25 Cr 
387,"3 BHK Apartment for Sale in Riverdale Residences, Kharadi Pune",1100 sqft,StatusReady to Move,TransactionNew Property,FurnishingSemi-Furnished,SocietyRiverdale Residences,Bathroom3,₹1.42 Cr 
388,"2 BHK Apartment for Sale in Majestique Marbella, Kharadi Pune",824 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom2,₹90 Lac 
389,"4 BHK Apartment for Sale in Pittie Kourtyard, Chandan Nagar, Malwadi Pune",1800 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyPittie Kourtyard,Bathroom4,₹2 Cr 
390,"2 BHK Apartment for Sale in Zen Estate, Kharadi Pune",740 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyZen Estate,Bathroom2,₹61.6 Lac 
391,"2 BHK Apartment for Sale in Riverdale Grove, Kharadi Pune",706 sqft,Under ConstructionPoss. by Jun '24,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grove,Bathroom2,₹75 Lac 
392,"2 BHK Apartment for Sale in Riverdale Grove, Kharadi Pune",793 sqft,Under ConstructionPoss. by Jun '24,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grove,Bathroom2,₹85 Lac 
393,"2 BHK Apartment for Sale in Zen Estate, Kharadi Pune",740 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyZen Estate,Bathroom2,₹61.6 Lac 
394,"4 BHK Apartment for Sale in Marvel Aquanas, Kharadi Pune",2500 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyMarvel Aquanas,,₹2.25 Cr 
395,"2 BHK Apartment for Sale in Zen Elite, Kharadi Pune",777 sqft,Under ConstructionPoss. by Mar '25,TransactionNew Property,FurnishingUnfurnished,SocietyZen Elite,Bathroom2,₹75.8 Lac 
396,"2 BHK Apartment for Sale in Zen Elite, Kharadi Pune",838 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyZen Elite,Bathroom2,₹81 Lac 
397,"2 BHK Apartment for Sale in Ganga Serio, Kharadi Pune",807 sqft,Under ConstructionPoss. by Jun '24,TransactionNew Property,FurnishingUnfurnished,SocietyGanga Serio,Bathroom2,₹90.1 Lac 
398,"2 BHK Apartment for Sale in Navkar Feel, Kharadi Pune",1050 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyNavkar Feel,Bathroom2,₹90 Lac 
399,"2 BHK Apartment for Sale in Ganga Alfa Paradise, Kharadi Pune",704 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGanga Alfa Paradise,Bathroom2,₹62 Lac 
400,"3 BHK Apartment for Sale in Marvel Zephyr, Kharadi Pune",2360 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyMarvel Zephyr,Bathroom2,₹2.50 Cr 
401,"2 BHK Apartment for Sale in EON Free Zone, Kharadi Pune",870 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,,Bathroom2,₹95 Lac 
402,"2 BHK Apartment for Sale in The Signature Tower, Kharadi Pune",950 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyThe Signature Tower,Bathroom2,₹1.20 Cr 
403,"2 BHK Apartment for Sale in Gulmohar Parkview, Kharadi Pune",1153 sqft,StatusReady to Move,TransactionNew Property,FurnishingSemi-Furnished,SocietyGulmohar Parkview,Bathroom2,₹90 Lac 
404,"4 BHK Apartment for Sale in Forest County, Kharadi Pune",2200 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyForest County,Bathroom4,₹3.50 Cr 
405,"3 BHK Apartment for Sale in Guardian Eastern Meadows, Kharadi Pune",1050 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGuardian Eastern Meadows,Bathroom3,₹1.10 Cr 
406,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1187 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom3,₹1.55 Cr 
407,"2 BHK Apartment for Sale in Nyati Elysia, Kharadi Pune",740 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyNyati Elysia,Bathroom2,₹1 Cr 
408,"4 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune",3000 sqft,StatusReady to Move,TransactionNew Property,FurnishingSemi-Furnished,SocietyPanchshil Towers,Bathroom5,₹3.60 Cr 
409,"2 BHK Apartment for Sale in ARV Uthville, Kharadi Pune",741 sqft,Under ConstructionPoss. by Dec '24,TransactionNew Property,FurnishingUnfurnished,SocietyARV Uthville,Bathroom2,₹88 Lac 
410,"2 BHK Apartment for Sale in Zen Estate, Kharadi Pune",1050 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyZen Estate,Bathroom2,₹90 Lac 
411,"4 BHK Apartment for Sale in Pittie Kourtyard, Kharadi Pune",1800 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyPittie Kourtyard,Bathroom4,₹2 Cr 
412,"3 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune",2103 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyPanchshil Towers,Bathroom4,₹3.35 Cr 
413,"2 BHK Apartment for Sale in VTP Township Codename Pegasus, Kharadi Pune",797 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyVTP Township Codename Pegasus,Bathroom2,₹77.4 Lac 
414,"2 BHK Apartment for Sale in Rakshak Nagar Gold, Kharadi Pune",786 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyRakshak Nagar Gold,Bathroom2,₹69 Lac 
415," Studio Apartment for Sale in Gera World of Joy, Ubale Nagar Pune",200 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGera World of Joy,Bathroom1,₹18.2 Lac 
416,"2 BHK Apartment for Sale in Zen Estate, Kharadi Pune",747 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyZen Estate,Bathroom2,₹81 Lac 
417,"2 BHK Apartment for Sale in Gera World of Joy, EON Free Zone, Kharadi Pune",750 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGera World of Joy,Bathroom2,₹96 Lac 
418,2 BHK Builder Floor for Sale in Kharadi Pune,814 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,,Bathroom2,₹58 Lac 
419,"2 BHK Apartment for Sale in Ganga Constellaa, EON Free Zone, Kharadi Pune",900 sqft,,TransactionResale,FurnishingSemi-Furnished,SocietyGanga Constellaa,Bathroom2,₹57.7 Lac 
420,1 BHK Apartment for Sale in Kharadi Pune,384 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,,Bathroom1,₹27.6 Lac 
421,"2 BHK Apartment for Sale in Gulmohar Serene, Kharadi Pune",730 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGulmohar Serene,Bathroom2,₹69 Lac 
422,"2 BHK Apartment for Sale in VTP Urban Soul, Kharadi Pune",1104 sqft,StatusReady to Move,TransactionResale,FurnishingFurnished,SocietyVTP Urban Soul,Bathroom2,₹90 Lac 
423,"3 BHK Apartment for Sale in Panchshil Towers, Kharadi Pune",2103 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyPanchshil Towers,Bathroom4,₹3.35 Cr 
424,"2 BHK Apartment for Sale in VTP Township Codename Pegasus, Kharadi Pune",776 sqft,Under ConstructionPoss. by Apr '24,TransactionResale,FurnishingUnfurnished,SocietyVTP Township Codename Pegasus,Bathroom2,₹86.5 Lac 
425,"1 BHK Apartment for Sale in Matoshree Flat Kharadi, Kharadi Pune",240 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyMatoshree Flat Kharadi,Bathroom1,₹15.2 Lac 
426,"3 BHK Apartment for Sale in Surya Span O Life, Kharadi Pune",1200 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietySurya Span O Life,Bathroom3,₹1.35 Cr 
427,"1 BHK Apartment for Sale in Riverdale Heights, Kharadi Pune",780 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyRiverdale Heights,Bathroom1,₹82 Lac 
428,"3 BHK Apartment for Sale in Ratan Prestige, Kharadi Pune",1060 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyRatan Prestige,Bathroom3,₹1.10 Cr 
429, Studio Apartment for Sale in Kharadi Pune,256 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,,Bathroom1,₹30.7 Lac 
430,"2 BHK Apartment for Sale in Vishaldeep Residency, Chandan Nagar, Malwadi Pune",981 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyVishaldeep Residency,Bathroom2,₹60.2 Lac 
431,"2 BHK Apartment for Sale in Unique Youtopia, Kharadi Pune",776 sqft,Under ConstructionPoss. by Oct '24,TransactionResale,FurnishingUnfurnished,SocietyUnique Youtopia,Bathroom2,₹79 Lac 
432,"3 BHK Apartment for Sale in Chandan Nagar, Malwadi Pune",1200 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,,Bathroom3,₹80 Lac 
433,"2 BHK Apartment for Sale in Fortune East, Kharadi Pune",1050 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyFortune East,Bathroom2,₹85 Lac 
434,"2 BHK Apartment for Sale in Zen Estate, Kharadi Pune",740 sqft,StatusReady to Move,TransactionNew Property,FurnishingSemi-Furnished,SocietyZen Estate,Bathroom2,₹92 Lac 
435,1 BHK Apartment for Sale in Ubale Nagar Pune,525 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,,Bathroom1,₹42 Lac 
436,3 BHK Apartment for Sale in Kharadi Pune,1400 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,,Bathroom3,₹1 Cr 
437,"3 BHK Apartment for Sale in VTP Urban Soul, Kharadi Pune",1450 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyVTP Urban Soul,Bathroom3,₹1.13 Cr 
438,"2 BHK Apartment for Sale in Venkatesh Laxmi Fortune Plaza Phase II, Kharadi Pune",818 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyVenkatesh Laxmi Fortune Plaza Phase II,Bathroom2,₹85.6 Lac 
439,"2 BHK Apartment for Sale in Ganga Arcadia, Kharadi Pune",1048 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGanga Arcadia,Bathroom2,₹87 Lac 
440,"2 BHK Apartment for Sale in Ganga Serio, Kharadi Pune",807 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGanga Serio,Bathroom2,₹1 Cr 
441,"2 BHK Apartment for Sale in Nirmiti 25east, Kharadi Pune",625 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyNirmiti 25east,Bathroom2,₹65 Lac 
442,"4 BHK Apartment for Sale in Panchshil Towers, Kharadi Gaon, Kharadi Pune",1850 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyPanchshil Towers,Bathroom5,₹3.20 Cr 
443,"1 BHK Apartment for Sale in The Pearl Apartment, Kharadi Pune",374 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyThe Pearl Apartment,Bathroom1,₹30 Lac 
444,"2 BHK Apartment for Sale in Godrej Nurture, Tukaram Nagar Kharadi Pune",832 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGodrej Nurture,Bathroom2,₹85 Lac 
