,location,carpet_area,status,transaction,urnishing,society,bathroom,amount
1349,"3 BHK Apartment for Sale in Unique Youtopia, Kharadi Pune",1000 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingSemi-Furnished,SocietyUnique Youtopia,Bathroom3,₹1.22 Cr 
1350,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",937 sqft,StatusReady to Move,TransactionNew Property,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom3,₹1.40 Cr 
1351,"3 BHK Penthouse for Sale in Marvel Zephyr, Kharadi Pune",2500 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyMarvel Zephyr,Bathroom4,₹2.95 Cr 
1352,"2 BHK Apartment for Sale in Unique Youtopia, EON Free Zone, Kharadi Pune",765 sqft,Under ConstructionPoss. by Aug '26,TransactionNew Property,FurnishingSemi-Furnished,SocietyUnique Youtopia,Bathroom2,₹95 Lac 
1353,"2 BHK Apartment for Sale in Global Lifestyle, Kharadi Pune",800 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGlobal Lifestyle,Bathroom2,₹90 Lac 
1354,"1 BHK Apartment for Sale in Riverdale Heights, Kharadi Pune",510 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyRiverdale Heights,Bathroom1,₹60 Lac 
1355,"2 BHK Apartment for Sale in Riverdale Heights, EON Free Zone, Kharadi Pune",743 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyRiverdale Heights,Bathroom2,₹96 Lac 
1356,"4 BHK Apartment for Sale in Marvel Enigma, Kharadi Pune",2310 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyMarvel Enigma,Bathroom5,₹2.50 Cr 
1357,"2 BHK Apartment for Sale in Gulmohar Parkview, Kharadi Pune",870 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGulmohar Parkview,Bathroom2,₹92 Lac 
1358,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1100 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom3,₹1.65 Cr 
1359,"3 BHK Apartment for Sale in Marvel Citrine, Kharadi Pune",1300 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyMarvel Citrine,Bathroom3,₹1.70 Cr 
1360,"2 BHK Apartment for Sale in Nyati Elysia, Kharadi Pune",990 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyNyati Elysia,Bathroom2,₹95 Lac 
1361,"2 BHK Apartment for Sale in EON Free Zone, Kharadi Pune",700 sqft,Under ConstructionPoss. by Sep '26,TransactionNew Property,FurnishingUnfurnished,,Bathroom2,₹65.9 Lac 
1362,"3 BHK Apartment for Sale in Gera Emerald City North, EON Free Zone, Kharadi Pune",1555 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera Emerald City North,Bathroom3,₹1.38 Cr 
1363,"3 BHK Apartment for Sale in Gera World of Joy, Kharadi Pune",1200 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGera World of Joy,Bathroom3,₹1.70 Cr 
1364,"2 BHK Apartment for Sale in Yashwin Orizzonte, Kharadi Pune",800 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyYashwin Orizzonte,Bathroom2,₹1.03 Cr 
1365,"2 BHK Apartment for Sale in Gulmohar Helios, Kharadi Pune",800 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGulmohar Helios,Bathroom2,₹65 Lac 
1366,"3 BHK Apartment for Sale in Majestique Marbella, Kharadi Pune",1080 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom3,₹1.32 Cr 
1367,"2 BHK Apartment for Sale in Riverdale Heights, Kharadi Pune",750 sqft,StatusReady to Move,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Heights,Bathroom2,₹95 Lac 
1368,"3 BHK Apartment for Sale in Riverdale Residences, Kharadi Pune",1200 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyRiverdale Residences,Bathroom3,₹1.80 Cr 
1369,"2 BHK Apartment for Sale in Gulmohar Queenstown, EON Free Zone, Kharadi Pune",900 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyGulmohar Queenstown,Bathroom2,₹1 Cr 
1370,"3 BHK Apartment for Sale in Kolte-Patil Tuscan Estate, Kharadi Pune",1220 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyKolte-Patil Tuscan Estate,Bathroom3,₹1.87 Cr 
1371,"2 BHK Apartment for Sale in Guardian Eastern Meadows, Kharadi Pune",733 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGuardian Eastern Meadows,Bathroom2,₹72 Lac 
1372,"2 BHK Apartment for Sale in Zen Estate, Kharadi Pune",746 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyZen Estate,Bathroom2,₹80 Lac 
1373,"2 BHK Apartment for Sale in Shubh Aaugusta, Kharadi Pune",810 sqft,StatusReady to Move,TransactionResale,FurnishingFurnished,SocietyShubh Aaugusta,Bathroom2,₹95 Lac 
1374,"3 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, Kharadi Gaon, Kharadi Pune",1062 sqft,Under ConstructionPoss. by Jun '27,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom2,₹1.30 Cr 
1375,"3 BHK Apartment for Sale in Majestique Marbella, Kharadi Pune",1145 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyMajestique Marbella,Bathroom3,₹1.56 Cr 
1376,"3 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",1007 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom2,₹1.21 Cr 
1377,"2 BHK Apartment for Sale in Gera World of Joy, EON Free Zone, Kharadi Pune",730 sqft,StatusReady to Move,TransactionResale,FurnishingUnfurnished,SocietyGera World of Joy,Bathroom2,₹1.07 Cr 
1378,"3 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, Kharadi Pune",1066 sqft,Under ConstructionPoss. by Jan '27,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom3,₹1.32 Cr 
1379,"3 BHK Builder Floor for Sale in VTP Altair, EON Free Zone, Kharadi Pune",1660 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Altair,Bathroom3,₹1.37 Cr 
1380,"2 BHK Apartment for Sale in Riverdale Grove, Kharadi Pune",995 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyRiverdale Grove,Bathroom2,₹74 Lac 
1381,"2 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",800 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom2,₹83 Lac 
1382,"2 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, Kharadi Pune",762 sqft,Under ConstructionPoss. by Sep '26,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom2,₹82 Lac 
1383,"3 BHK Apartment for Sale in Pristine Allure, Kharadi Pune",855 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyPristine Allure,Bathroom2,₹95 Lac 
1384,"2 BHK Apartment for Sale in Flamante By VTP Luxe Phase 1, Kharadi Pune",808 sqft,Under ConstructionPoss. by Jun '27,TransactionNew Property,FurnishingUnfurnished,SocietyFlamante By VTP Luxe Phase 1,Bathroom2,₹92.5 Lac 
1385,"3 BHK Apartment for Sale in VTP Dolce Vita, Kharadi Pune",1250 sqft,Under ConstructionPoss. by Dec '25,TransactionNew Property,FurnishingUnfurnished,SocietyVTP Dolce Vita,Bathroom3,₹1.35 Cr 
1386,"3 BHK Apartment for Sale in Riverdale Grand, Kharadi Pune",1463 sqft,Under ConstructionPoss. by Dec '26,TransactionNew Property,FurnishingSemi-Furnished,SocietyRiverdale Grand,Bathroom3,₹1.67 Cr 
1387,"3 BHK Apartment for Sale in Riverdale Grand, EON Free Zone, Kharadi Pune",1140 sqft,Under ConstructionPoss. by Jun '26,TransactionNew Property,FurnishingSemi-Furnished,SocietyRiverdale Grand,Bathroom3,₹1.55 Cr 
1388,"5 BHK Penthouse for Sale in Panchshil Towers, Kharadi Pune",5000 sqft,StatusReady to Move,TransactionResale,FurnishingSemi-Furnished,SocietyPanchshil Towers,Bathroom6,₹10 Cr 
